video_name,frame,time_seconds,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,left_knee_velocity,left_knee_acceleration,right_knee_velocity,right_knee_acceleration,left_hip_velocity,left_hip_acceleration,right_hip_velocity,right_hip_acceleration,left_ankle_velocity,left_ankle_acceleration,right_ankle_velocity,right_ankle_acceleration
demo_squat.mp4,0,0.0,180.00000000000003,180.00000000000003,180.00000000000003,180.00000000000003,180.00000000000003,180.00000000000003,2.8421709430404007e-13,-1.4210854715202004e-12,2.8421709430404007e-13,-1.4210854715202004e-12,2.8421709430404007e-13,-1.4210854715202004e-12,2.8421709430404007e-13,-1.4210854715202004e-12,2.8421709430404007e-13,-1.4210854715202004e-12,2.8421709430404007e-13,-1.4210854715202004e-12
demo_squat.mp4,1,0.1,180.00000000000006,180.00000000000006,180.00000000000006,180.00000000000006,180.00000000000006,180.00000000000006,1.4210854715202004e-13,-1.4210854715202004e-12,1.4210854715202004e-13,-1.4210854715202004e-12,1.4210854715202004e-13,-1.4210854715202004e-12,1.4210854715202004e-13,-1.4210854715202004e-12,1.4210854715202004e-13,-1.4210854715202004e-12,1.4210854715202004e-13,-1.4210854715202004e-12
demo_squat.mp4,2,0.2,180.00000000000006,180.00000000000006,180.00000000000006,180.00000000000006,180.00000000000006,180.00000000000006,0.0,-7.105427357601002e-13,0.0,-7.105427357601002e-13,0.0,-7.105427357601002e-13,0.0,-7.105427357601002e-13,0.0,-7.105427357601002e-13,0.0,-7.105427357601002e-13
demo_squat.mp4,3,0.3,180.00000000000006,180.00000000000006,180.00000000000006,180.00000000000006,180.00000000000006,180.00000000000006,0.0,1.2079226507921703e-11,0.0,1.2079226507921703e-11,0.0,1.2079226507921703e-11,0.0,1.2079226507921703e-11,0.0,1.2079226507921703e-11,0.0,1.2079226507921703e-11
demo_squat.mp4,4,0.4,180.00000000000006,180.00000000000006,180.00000000000006,180.00000000000006,180.00000000000006,180.00000000000006,2.4158453015843406e-12,1.2079226507921703e-11,2.4158453015843406e-12,1.2079226507921703e-11,2.4158453015843406e-12,1.2079226507921703e-11,2.4158453015843406e-12,1.2079226507921703e-11,2.4158453015843406e-12,1.2079226507921703e-11,2.4158453015843406e-12,1.2079226507921703e-11
demo_squat.mp4,5,0.5,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,2.4158453015843406e-12,-1.2079226507921703e-11,2.4158453015843406e-12,-1.2079226507921703e-11,2.4158453015843406e-12,-1.2079226507921703e-11,2.4158453015843406e-12,-1.2079226507921703e-11,2.4158453015843406e-12,-1.2079226507921703e-11,2.4158453015843406e-12,-1.2079226507921703e-11
demo_squat.mp4,6,0.6,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,0.0,-1.2079226507921703e-11,0.0,-1.2079226507921703e-11,0.0,-1.2079226507921703e-11,0.0,-1.2079226507921703e-11,0.0,-1.2079226507921703e-11,0.0,-1.2079226507921703e-11
demo_squat.mp4,7,0.7,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demo_squat.mp4,8,0.8,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demo_squat.mp4,9,0.9,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demo_squat.mp4,10,1.0,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demo_squat.mp4,11,1.1,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demo_squat.mp4,12,1.2,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demo_squat.mp4,13,1.3,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demo_squat.mp4,14,1.4,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demo_squat.mp4,15,1.5,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demo_squat.mp4,16,1.6,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demo_squat.mp4,17,1.7,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,180.00000000000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
